Date,Open,High,Low,Close
24-11-2003,"1,944.83","1,957.42","1,916.36","1,945.69"
25-11-2003,"1,972.07","1,983.85","1,968.82","1,980.23"
27-11-2003,"1,986.16","2,055.24","1,986.16","2,045.90"
28-11-2003,"2,046.12","2,074.26","2,042.29","2,064.48"
01-12-2003,"2,076.76","2,181.55","2,076.76","2,170.66"
02-12-2003,"2,178.55","2,202.33","2,117.27","2,144.93"
03-12-2003,"2,146.18","2,156.30","2,129.14","2,146.76"
04-12-2003,"2,147.59","2,159.20","2,113.66","2,140.78"
05-12-2003,"2,142.08","2,145.52","2,064.09","2,070.86"
08-12-2003,"2,064.82","2,088.46","2,048.06","2,079.10"
09-12-2003,"2,088.60","2,124.41","2,088.60","2,121.18"
10-12-2003,"2,121.52","2,149.45","2,100.20","2,135.09"
11-12-2003,"2,145.01","2,168.59","2,132.70","2,162.01"
12-12-2003,"2,175.66","2,186.86","2,151.00","2,169.88"
15-12-2003,"2,185.78","2,235.95","2,185.78","2,228.78"
16-12-2003,"2,224.13","2,250.04","2,191.23","2,240.50"
17-12-2003,"2,202.28","2,231.91","2,202.28","2,217.86"
18-12-2003,"2,221.83","2,248.68","2,218.70","2,238.16"
19-12-2003,"2,243.07","2,283.32","2,243.07","2,264.57"
22-12-2003,"2,263.55","2,274.91","2,248.80","2,269.36"
23-12-2003,"2,270.60","2,289.61","2,258.88","2,265.20"
24-12-2003,"2,267.38","2,305.41","2,253.05","2,296.54"
26-12-2003,"2,296.72","2,313.72","2,289.03","2,299.25"
29-12-2003,"2,302.67","2,367.98","2,302.67","2,361.57"
30-12-2003,"2,364.59","2,416.41","2,337.99","2,356.23"
31-12-2003,"2,355.01","2,380.26","2,340.68","2,354.22"
01-01-2004,"2,362.53","2,399.61","2,362.53","2,391.19"
02-01-2004,"2,392.95","2,416.82","2,386.88","2,398.72"
05-01-2004,"2,403.98","2,436.53","2,392.82","2,423.43"
06-01-2004,"2,425.47","2,462.78","2,318.36","2,349.17"
07-01-2004,"2,357.03","2,368.20","2,304.09","2,335.74"
08-01-2004,"2,344.23","2,428.14","2,344.23","2,415.74"
09-01-2004,"2,475.86","2,531.76","2,397.07","2,422.66"
12-01-2004,"2,457.11","2,457.11","2,357.20","2,381.96"
13-01-2004,"2,376.53","2,407.20","2,358.27","2,396.21"
14-01-2004,"2,399.03","2,427.31","2,390.46","2,396.70"
15-01-2004,"2,395.55","2,410.42","2,313.23","2,329.61"
16-01-2004,"2,321.76","2,326.32","2,255.59","2,287.43"
19-01-2004,"2,297.18","2,331.93","2,263.11","2,319.58"
20-01-2004,"2,326.54","2,357.22","2,258.80","2,279.59"
21-01-2004,"2,297.24","2,325.18","2,188.39","2,212.38"
22-01-2004,"2,215.67","2,280.55","2,134.59","2,161.20"
23-01-2004,"2,174.81","2,295.93","2,174.81","2,283.80"
27-01-2004,"2,311.37","2,325.73","2,228.36","2,313.51"
28-01-2004,"2,312.63","2,312.63","2,205.97","2,239.13"
29-01-2004,"2,246.20","2,246.20","2,150.32","2,175.95"
30-01-2004,"2,179.01","2,191.61","2,127.93","2,137.05"
03-02-2004,"2,141.55","2,155.16","2,072.05","2,083.61"
04-02-2004,"2,084.07","2,130.86","2,073.20","2,124.11"
05-02-2004,"2,123.04","2,174.02","2,098.30","2,123.94"
06-02-2004,"2,120.43","2,174.97","2,120.43","2,170.09"
09-02-2004,"2,184.55","2,244.52","2,184.55","2,233.07"
10-02-2004,"2,238.80","2,241.70","2,183.36","2,201.72"
11-02-2004,"2,198.54","2,230.38","2,196.61","2,210.72"
12-02-2004,"2,217.57","2,231.30","2,163.55","2,178.62"
13-02-2004,"2,179.72","2,218.64","2,175.99","2,215.00"
16-02-2004,"2,216.79","2,236.59","2,208.04","2,212.63"
17-02-2004,"2,212.76","2,223.84","2,194.95","2,219.30"
18-02-2004,"2,234.03","2,245.76","2,193.59","2,200.22"
19-02-2004,"2,201.76","2,201.76","2,090.53","2,100.34"
20-02-2004,"2,093.47","2,126.47","2,048.59","2,087.53"
23-02-2004,"2,089.89","2,108.59","2,044.36","2,053.26"
24-02-2004,"2,047.95","2,054.50","1,991.64","2,044.66"
25-02-2004,"2,122.91","2,122.91","2,011.30","2,022.54"
26-02-2004,"2,028.23","2,057.72","1,979.98","1,992.06"
27-02-2004,"1,993.62","2,072.71","1,992.37","2,059.92"
01-03-2004,"2,073.46","2,126.76","2,071.79","2,122.55"
03-03-2004,"2,122.99","2,124.34","2,086.05","2,107.28"
04-03-2004,"2,111.34","2,149.22","2,104.55","2,122.12"
05-03-2004,"2,124.91","2,134.99","2,095.64","2,108.51"
08-03-2004,"2,108.05","2,112.76","2,057.17","2,062.79"
09-03-2004,"2,060.62","2,060.62","1,989.75","2,032.06"
10-03-2004,"2,018.76","2,042.22","1,996.48","2,028.22"
11-03-2004,"2,003.81","2,027.10","1,993.81","1,999.90"
12-03-2004,"2,003.35","2,066.41","1,985.73","2,052.08"
15-03-2004,"2,055.82","2,092.47","1,985.09","2,003.43"
16-03-2004,"1,986.62","2,021.49","1,969.42","2,012.47"
17-03-2004,"2,018.72","2,040.65","2,014.14","2,030.70"
18-03-2004,"2,032.65","2,042.90","1,971.83","1,981.09"
19-03-2004,"1,979.55","2,047.34","1,979.55","2,029.42"
22-03-2004,"2,031.33","2,031.33","1,952.03","1,959.79"
23-03-2004,"1,950.38","2,003.91","1,922.84","1,981.64"
24-03-2004,"1,978.11","1,981.14","1,936.38","1,955.62"
25-03-2004,"1,957.07","2,007.62","1,953.52","1,980.73"
26-03-2004,"1,989.27","2,050.13","1,989.27","2,040.14"
29-03-2004,"2,039.69","2,046.58","1,998.92","2,017.71"
30-03-2004,"2,019.98","2,041.36","1,962.44","1,969.45"
31-03-2004,"1,966.73","1,979.15","1,924.52","1,937.29"
01-04-2004,"1,938.69","1,993.76","1,938.69","1,982.43"
02-04-2004,"1,980.09","1,993.28","1,953.35","1,966.55"
05-04-2004,"1,966.79","2,042.88","1,966.79","2,024.72"
06-04-2004,"2,120.88","2,120.88","2,033.89","2,049.21"
07-04-2004,"2,047.49","2,066.88","2,031.24","2,058.09"
08-04-2004,"2,101.89","2,101.89","2,068.97","2,073.74"
12-04-2004,"2,079.57","2,091.57","2,033.62","2,047.02"
13-04-2004,"2,074.39","2,201.99","2,074.39","2,192.36"
15-04-2004,"2,211.95","2,211.95","2,157.39","2,168.53"
16-04-2004,"2,194.36","2,211.91","2,186.36","2,192.99"
17-04-2004,"2,198.93","2,200.53","2,181.93","2,185.94"
19-04-2004,"2,186.91","2,186.91","2,136.20","2,152.29"
20-04-2004,"2,157.05","2,174.72","2,153.32","2,163.15"
21-04-2004,"2,154.78","2,179.45","2,140.97","2,170.28"
22-04-2004,"2,171.78","2,183.20","2,163.95","2,168.47"
23-04-2004,"2,158.88","2,184.38","2,147.59","2,153.37"
27-04-2004,"2,147.51","2,147.51","2,072.10","2,080.88"
28-04-2004,"2,080.91","2,095.45","2,052.86","2,059.67"
29-04-2004,"2,059.12","2,075.16","2,040.34","2,052.13"
30-04-2004,"2,040.38","2,088.85","2,040.38","2,068.70"
